135000,27,13.28,0.0000079650
135000,23,9.23,0.0001334138
135000,19,4.68,0.0022222355
135000,29,15.29,0.0000039825
135000,20,5.86,0.0011788203
135000,22,8.19,0.0002787751
135000,28,14.28,0.0000059738
135000,25,11.27,0.0000278775
135000,18,3.47,0.0039386934
135000,26,12.28,0.0000119475
135000,24,10.25,0.0000657113
135000,21,6.99,0.0005814451
135000,30,16.29,0.0000019913
150000,20,5.83,0.0012923215
150000,30,16.11,0.0000019913
150000,23,9.05,0.0001413788
150000,25,11.09,0.0000298688
150000,24,10.08,0.0000677025
150000,18,3.29,0.0042791972
150000,26,12.10,0.0000119475
150000,28,14.11,0.0000059738
150000,29,15.11,0.0000039825
150000,22,8.00,0.0003006788
150000,27,13.11,0.0000079650
150000,21,6.93,0.0006352089
170000,18,3.09,0.0046734648
170000,19,4.43,0.0027638556
170000,30,15.91,0.0000019913
150000,19,4.52,0.0024452555
170000,20,5.58,0.0014914466
170000,21,6.70,0.0007407452
170000,22,7.78,0.0003584251
170000,24,9.86,0.0000776588
170000,25,10.88,0.0000338513
170000,26,11.89,0.0000139388
170000,23,8.83,0.0001712475
170000,27,12.90,0.0000099563
170000,29,14.90,0.0000039825
195000,19,4.12,0.0031023682
195000,18,2.99,0.0051414087
170000,28,13.90,0.0000059738
195000,30,15.66,0.0000019913
195000,20,5.29,0.0016766329
195000,21,6.42,0.0008303514
195000,24,9.61,0.0000896063
195000,23,8.57,0.0001971338
195000,25,10.63,0.0000378338
195000,22,7.52,0.0004042238
195000,26,11.64,0.0000139388
195000,27,12.65,0.0000099563
195000,29,14.66,0.0000039825
220000,18,2.72,0.0055954138
220000,21,6.19,0.0009418615
195000,28,13.65,0.0000059738
220000,19,3.85,0.0034209683
220000,20,5.04,0.0018598279
220000,22,7.29,0.0004739176
220000,30,15.45,0.0000039825
220000,23,8.36,0.0002289938
220000,27,12.44,0.0000119475
220000,24,9.40,0.0001035450
220000,26,11.43,0.0000159300
220000,28,13.45,0.0000079650
220000,25,10.42,0.0000398250
250000,18,2.47,0.0060633576
220000,29,14.45,0.0000059738
250000,20,4.81,0.0020928042
250000,21,5.97,0.0010912052
250000,23,8.17,0.0002668276
250000,24,9.21,0.0001154925
250000,26,11.25,0.0000199125
250000,19,3.60,0.0037993059
250000,25,10.24,0.0000477900
250000,22,7.09,0.0005555589
250000,27,12.26,0.0000139388
250000,28,13.27,0.0000099563
250000,30,15.27,0.0000039825
250000,29,14.27,0.0000059738
