n,w_bits,s_bits,bucket_size,m_delimiters,e_bits,i_bits,s_required_bits,s_margin_bits,checks,trials,successes,failures,fail_rate,success_rate,avg_attempts_success,p50_attempts_success,p95_attempts_success,max_attempts_success,avg_size_bytes_success,avg_size_bits_success,bpk,epsilon_target_query,theory_query_fp_by_s
1048576,64,32,256,4096,8,16,11,21,6,4,4,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,2005852.000000,16046816.000000,15.303436,0.00390625,0.00000000
1048576,128,32,256,4096,8,16,11,21,7,4,4,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,2038180.000000,16305440.000000,15.550079,0.00390625,0.00000000
1048576,256,32,256,4096,16,16,11,21,8,4,4,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,2103698.000000,16829584.000000,16.049942,0.00390625,0.00000000
1048576,512,32,256,4096,16,16,12,20,9,4,4,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,2234280.000000,17874240.000000,17.046204,0.00390625,0.00000000
1048576,2048,32,256,4096,16,16,12,20,11,4,4,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,3020684.000000,24165472.000000,23.045990,0.00390625,0.00000000
4194304,64,32,256,16384,8,16,11,21,6,4,4,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,8021922.000000,64175376.000000,15.300602,0.00390625,0.00000000
4194304,128,32,256,16384,8,16,11,21,7,4,4,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,8152710.000000,65221680.000000,15.550060,0.00390625,0.00000000
4194304,256,32,256,16384,16,16,11,21,8,4,4,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,8415390.000000,67323120.000000,16.051083,0.00390625,0.00000000
4194304,512,32,256,16384,16,16,12,20,9,4,4,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,8938816.000000,71510528.000000,17.049438,0.00390625,0.00000000
4194304,2048,32,256,16384,16,16,12,20,11,4,4,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,12084536.000000,96676288.000000,23.049423,0.00390625,0.00000000
