n,w_bits,s_bits,bucket_size,m_delimiters,e_bits,i_bits,s_required_bits,s_margin_bits,checks,trials,successes,failures,fail_rate,success_rate,avg_attempts_success,p50_attempts_success,p95_attempts_success,max_attempts_success,epsilon_target_query,theory_query_fp_by_s
32,64,8,256,1,8,8,8,0,6,128,128,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.03125000,0.02320981
32,128,8,256,1,8,8,8,0,7,128,128,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.03125000,0.02702539
32,256,8,256,1,16,8,8,0,8,128,128,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.03125000,0.03082608
32,512,8,256,1,16,8,9,-1,9,128,128,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.03125000,0.03461191
32,2048,8,256,1,16,8,9,-1,11,128,128,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.03125000,0.04213927
64,64,8,256,1,8,8,9,-1,6,128,128,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.01562500,0.02320981
64,128,8,256,1,8,8,9,-1,7,128,128,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.01562500,0.02702539
64,256,8,256,1,16,8,9,-1,8,128,128,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.01562500,0.03082608
64,512,8,256,1,16,8,10,-2,9,128,128,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.01562500,0.03461191
64,2048,8,256,1,16,8,10,-2,11,128,128,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.01562500,0.04213927
128,64,8,256,1,8,8,10,-2,6,128,128,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00781250,0.02320981
128,128,8,256,1,8,8,10,-2,7,128,128,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00781250,0.02702539
128,256,8,256,1,16,8,10,-2,8,128,128,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00781250,0.03082608
128,512,8,256,1,16,8,11,-3,9,128,128,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00781250,0.03461191
128,2048,8,256,1,16,8,11,-3,11,128,128,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00781250,0.04213927
256,64,8,256,1,8,8,11,-3,6,128,128,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00390625,0.02320981
256,128,8,256,1,8,8,11,-3,7,128,128,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00390625,0.02702539
256,256,8,256,1,16,8,11,-3,8,128,128,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00390625,0.03082608
256,512,8,256,1,16,8,12,-4,9,128,128,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00390625,0.03461191
256,2048,8,256,1,16,8,12,-4,11,128,128,0,0.00000000,1.00000000,1.000000,1.00,1.00,1,0.00390625,0.04213927
512,64,8,256,2,8,8,11,-3,6,128,128,0,0.00000000,1.00000000,1.117188,1.00,2.00,2,0.00390625,0.02320981
512,128,8,256,2,8,8,11,-3,7,128,128,0,0.00000000,1.00000000,1.093750,1.00,2.00,4,0.00390625,0.02702539
512,256,8,256,2,16,8,11,-3,8,128,128,0,0.00000000,1.00000000,1.171875,1.00,2.00,4,0.00390625,0.03082608
512,512,8,256,2,16,8,12,-4,9,128,128,0,0.00000000,1.00000000,1.203125,1.00,2.00,7,0.00390625,0.03461191
512,2048,8,256,2,16,8,12,-4,11,128,128,0,0.00000000,1.00000000,1.242188,1.00,2.00,5,0.00390625,0.04213927
1024,64,8,256,4,8,8,11,-3,6,128,128,0,0.00000000,1.00000000,2.343750,2.00,6.00,21,0.00390625,0.02320981
1024,128,8,256,4,8,8,11,-3,7,128,128,0,0.00000000,1.00000000,2.867188,1.00,8.00,21,0.00390625,0.02702539
1024,256,8,256,4,16,8,11,-3,8,128,128,0,0.00000000,1.00000000,3.710938,2.00,13.00,29,0.00390625,0.03082608
1024,512,8,256,4,16,8,12,-4,9,128,128,0,0.00000000,1.00000000,3.617188,2.00,13.00,24,0.00390625,0.03461191
1024,2048,8,256,4,16,8,12,-4,11,128,128,0,0.00000000,1.00000000,4.843750,3.00,13.00,40,0.00390625,0.04213927
2048,64,8,256,8,8,8,11,-3,6,128,95,33,0.25781250,0.74218750,33.957895,24.00,86.00,99,0.00390625,0.02320981
2048,128,8,256,8,8,8,11,-3,7,128,74,54,0.42187500,0.57812500,36.837838,31.00,87.00,100,0.00390625,0.02702539
2048,256,8,256,8,16,8,11,-3,8,128,49,79,0.61718750,0.38281250,35.775510,28.00,85.00,98,0.00390625,0.03082608
2048,512,8,256,8,16,8,12,-4,9,128,25,103,0.80468750,0.19531250,41.960000,34.00,94.00,95,0.00390625,0.03461191
2048,2048,8,256,8,16,8,12,-4,11,128,11,117,0.91406250,0.08593750,55.090909,65.00,98.00,98,0.00390625,0.04213927
