n,w_bits,s_bits,theory_build_success
32,64,8,1.0
64,64,8,1.0
128,64,8,0.9937566117
256,64,8,0.2175149423
512,64,8,0.0005999732
1024,64,8,3.6e-09
2048,64,8,0.0
4096,64,8,0.0
16384,64,8,0.0
65536,64,8,0.0
131072,64,8,0.0
32,128,8,1.0
64,128,8,0.9999999945
128,128,8,0.9524039617
256,128,8,0.0860571448
512,128,8,8.09009e-05
1024,128,8,1e-10
2048,128,8,0.0
4096,128,8,0.0
16384,128,8,0.0
65536,128,8,0.0
131072,128,8,0.0
32,256,8,1.0
64,256,8,0.9999994856
128,256,8,0.8402249987
256,256,8,0.0324907398
512,256,8,1.09063e-05
1024,256,8,0.0
2048,256,8,0.0
4096,256,8,0.0
16384,256,8,0.0
65536,256,8,0.0
131072,256,8,0.0
32,512,8,1.0
64,512,8,0.9999846745
128,512,8,0.6695371272
256,512,8,0.0120528979
512,512,8,1.4702e-06
1024,512,8,0.0
2048,512,8,0.0
4096,512,8,0.0
16384,512,8,0.0
65536,512,8,0.0
131072,512,8,0.0
32,2048,8,1.0
64,2048,8,0.9985976445
128,2048,8,0.33310236
256,2048,8,0.0016332566
512,2048,8,2.67e-08
1024,2048,8,0.0
2048,2048,8,0.0
4096,2048,8,0.0
16384,2048,8,0.0
65536,2048,8,0.0
131072,2048,8,0.0
4096,64,16,1.0
16384,64,16,1.0
65536,64,16,0.2197739254
131072,64,16,0.0006141782
4096,128,16,1.0
16384,128,16,0.9999999949
65536,128,16,0.0871876256
131072,128,16,8.31406e-05
4096,256,16,1.0
16384,256,16,0.999999516
65536,256,16,0.0329932882
131072,256,16,1.12521e-05
4096,512,16,1.0
16384,512,16,0.9999854449
65536,512,16,0.0122650579
131072,512,16,1.5228e-06
4096,2048,16,1.0
16384,2048,16,0.9986479457
65536,2048,16,0.0016686501
131072,2048,16,2.79e-08
4096,64,32,1.0
16384,64,32,1.0
65536,64,32,1.0
131072,64,32,1.0
1048576,64,32,1.0
4194304,64,32,1.0
4096,128,32,1.0
16384,128,32,1.0
65536,128,32,1.0
131072,128,32,1.0
1048576,128,32,1.0
4194304,128,32,1.0
4096,256,32,1.0
16384,256,32,1.0
65536,256,32,1.0
131072,256,32,1.0
1048576,256,32,1.0
4194304,256,32,1.0
4096,512,32,1.0
16384,512,32,1.0
65536,512,32,1.0
131072,512,32,1.0
1048576,512,32,1.0
4194304,512,32,1.0
4096,2048,32,1.0
16384,2048,32,1.0
65536,2048,32,1.0
131072,2048,32,1.0
1048576,2048,32,1.0
4194304,2048,32,1.0
