keysize,keys,rl_bits_per_key,lerl_bits_per_key
64,32,73.75,165.2
64,256,53.88,127.4
64,1024,52.73,123.6
64,8192,51.27,115.3
64,32768,52.01,116.1
128,32,81.25,204.0
128,256,54.72,142.1
128,1024,52.4,135.0
128,8192,51.38,127.0
128,32768,52.66,128.3
256,32,85.25,277.2
256,256,58.28,223.5
256,1024,53.18,212.4
256,8192,52.79,200.2
256,32768,53.83,200.6
512,32,93.25,294.2
512,256,61.5,244.6
512,1024,56.16,234.3
512,8192,55.01,221.7
512,32768,56.04,223.3
1024,32,106.0,320.0
1024,256,66.22,269.3
1024,1024,59.7,257.3
1024,8192,58.97,246.0
1024,32768,59.29,245.8
